Week,Date,Plan,Acutal,RPE (1-10),心情 (1-5),Feeling,Feedback
,23/10/2025,5 km easy,5.73k@32:49 /5:44,1,5,Was a bit sick so do a recovery run and running to a nearby burger place,"That’s exactly the right call — low-intensity, short distance, and keeping the body moving while still respecting recovery. The 5:44/km pace fits well for a true easy run. No need to make up missed sessions this week — we’ll reset normal training next week once you’re fully back to normal."
,24/10/2025,,,,,,
,25/10/2025,12–14 km @ 5:35–5:50/km,,,,,
,26/10/2025,,,,,,
5,27/10/2025,"3 km @ tempo (4:45–4:55/km)

2 min jog recovery

2 km @ slightly faster (4:30–4:40/km)","5.96k@28:15/4:45
1k slow jog",3,5,"Haven't been running properly for a while, feels good to be back for a run. Start off slow jog for 1k then start picking up the pace, after 3k rest for a bit then start the second half of the run. Felt light for myself after the rest while after finishing the first half feeling a bit out of breath. In general great run, hoping to pick up my pace and gradually increasing the intensity of the program","✅ Solid restart — You hit the intended tempo effort almost perfectly. Averaging 4:45/km is right in the sweet spot for your target zone.
💨 The structured rest after 3K worked as intended — helped you maintain good form and re-engage the legs for the faster finish.
❤️ Effort (3) and feel (5) show you managed intensity well — perfect for a comeback after missed weeks.
⚙️ Good sign that you felt light after the break; that means your aerobic base held up despite the skipped weeks."
,28/10/2025,,,,,,
,29/10/2025,,,,,,
,30/10/2025,6–7 km @ 5:45–6:10/km,"3.51k@17:48 / 5:04
1hr hiit",2,5,"chill recovery run, HIIT were mainly foucs on core and feels a bit effect on my abs now","✅ Even though you ran faster than the prescribed pace, it’s fine since the distance was short and effort stayed light (RPE 2).
💪 The core-focused HIIT adds good balance to your training — strong abs help stabilize your form during long runs.
⚠️ Just be mindful not to let all your “easy” runs drift into 5:00/km range — it can limit recovery over time."
,31/10/2025,,,,,,
,1/11/2025,17–18 km @ 5:25–5:40/km,,,,,
,2/11/2025,,17.25k@1:32:24 / 5:21,4,5,"Running at a chill pace but I think I haven't been doing long run for quite a while, my breath and legs didn't catch right up. The first half is still alright I didn't stop and can go on, but coming back my knees starting to feel a bit pain, my feet also hurt a bit but not from the muscle but the contact from my shoes. Maybe the running form was not that good? Overall not a tough one I can kept the same distance but just need some time to pick up the program","✅ You managed the target distance well and held a pace slightly faster than prescribed (5:21/km vs. 5:25–5:40/km). That shows your aerobic base is still strong.
⚠️ The knee and foot discomfort suggest mild form breakdown and muscle fatigue from not having done long runs recently. Nothing alarming, but good to address early.
🦶 Check your shoe wear (especially midsole compression) and lacing — that “contact pain” is often from worn cushioning or slightly uneven strike."
6,3/11/2025,"5–6 km @ 5:40–6:00/km
 (optional)",,,,,
,4/11/2025,,,,,,
,5/11/2025,"6–7 km total — include 
3–4 km @ 4:40–4:50/km",6.79k@31:32 / 4:39,4,5,"Weather was cold so I ran a bit faster, starter at comfortable pace but gradually increasing, stop twice to rest a bit and kept going again. Slow down at around 5-6k and slowly jog 1k back","✅ You nailed the pace range — slightly faster (4:39/km average) but still controlled. Great aerobic efficiency despite the cold weather.
⚠️ Two short stops suggest your stamina at tempo pace is still rebuilding, which is expected after recent inconsistent weeks.
💡 The way you eased off and jogged back for cooldown was perfect — that keeps recovery smooth and prevents tightness.

Strong tempo effort, on-pace and well controlled. Slight fatigue mid-run but finished smoothly. Stamina improving — great sign for base rebuild."
,6/11/2025,"5–6 km @ 5:45–6:10/km +
 40–60 min HIIT (core/legs)",,,,,
,7/11/2025,,8.04k@46:19 / 5:46,2,5,"Light jog from my home to ikebukuro, stop a few time at the light. Try to stay at a very very slow pace without running to a point I forgot about should run at a chill pace. Nice run","Keep the long run tomorrow as planned — you’re in a good position to handle it well.
Maybe start the first 5 km extra slow (even slower than usual), then settle into your normal endurance pace."
,8/11/2025,16–18 km @ 5:25–5:40/km,,,,,
,9/11/2025,,16:57k@1:26:46 / 5:14,3,5,"Went out for a run after the rain is stopping, moved the run to sunday as I am busy at saturday. Whole run feels easy without acutally feeling tired and need to stop, should be the continous long run having some improvement. Only a bit hungry at the middle of the run.","This shows your aerobic base is growing rapidly again after the hiking/cold gap.
You’re sustaining a pace that used to be moderate effort for you — now it’s a steady aerobic cruise. That’s a strong fitness rebound.

The hunger mid-run suggests your glycogen stores were a bit low (normal if you ran before a big meal). You can start introducing a small fuel (like a gel at 8–10 km) when these long runs push over 90 minutes, to build fueling habits for race day."
7,10/11/2025,2 km warm-up jog → 5 km @ 4:35–4:45/km → 1 km cool-down,"5.07k@23:11 / 4:35
1.53k@8:32 / 5:36",3,5,"Felt a bit tired while going fast, I always knew I am not so good at faster pace. If I am running at slower pace I can go further and longer but once I reach a certain pace I would want to stop and rest. I have rest a few times in this run. After running the 5k I did a chill jog back. I am thinking is the program needed to have some interval?","What you described (strong endurance at moderate pace but fatigue once pushing faster) is very common for marathon-focused runners — it means your aerobic base is solid, but your lactate threshold and running economy at higher intensities need sharpening.

Let’s analyze your session:

5 km @ 4:35/km — solid target pace, but since you needed short rests, that indicates your threshold pace (where fatigue starts building) currently sits around 4:45–4:50/km."
,11/11/2025,,,,,,
,12/11/2025,"9–10 km @ 5:15–5:30/km
After 5 km, 3 × 100m strides",9.03k@49:10 / 5:27,2,5,"Chill run, thought I would be going faster but stopping a lot of time at the light. Bit hungry and cold so run 9k instead of 10, also the 100m strides x3 feels good, it's always nice to have some different pace in the middle of the run, I did each 100 fast and 100 slow.","You held a steady aerobic effort (5:27/km) within target pace.

You added short strides correctly — those 100m fast/100m slow patterns help activate your neuromuscular system and gently introduce speed without real fatigue.

Feeling hungry and cold but still completing 9 km shows good discipline and aerobic strength.

✅ Training effect: improved running economy and leg turnover while staying in an easy zone.
⚠️ Minor adjustment: on cold days, eat a small snack (banana, onigiri, or half protein bar) ~30 min before running to avoid mid-run hunger."
,13/11/2025,6–7 km @ 5:45–6:00/km,"5.36k@35:49 / 6:41
1 hr HIIT",1,,"Run with running club friends while talking, good session and HIIT","This is exactly how an easy/recovery day should feel.

Social run + strength is perfect.

Pace was intentionally slow → excellent discipline."
,14/11/2025,,,,,,
,15/11/2025,"18–19 km total → first 14 km @ 5:25–5:35/km, last 4–5 km @ 5:00–5:10/km",18.02k@1:37:29 / 5:25,3,,"Run starting to get longer and longer, should start brough some gel but the weather is nicer and no need to stop for water and can run all the way back. But running pretty chill without going up the pace, would be adjusting the pace next time.","You held the upper end of the target long-run pace (5:25/km) comfortably.

No water/gels needed in cool weather = aerobic base improving.

You didn’t push the last 4–5 km, but completing 18 km comfortably is more important at this stage."
,16/11/2025,,,,,,
8,17/11/2025,"2 km warm-up

4 × 1 km @ 4:20–4:30/km, 2 min jog between

1–2 km cool down","1.05k@5:41/5:23
4.03k@17:37/4:23
1.85k@10:48/5:50",5,,"Interval was pretty intense for me, haven't been going fast for a while and I need some time to adjust. The first two was in the designated time but the third one drop to 4:41 so the last one I picked up a bit more. Not impossible to finish but I think I will need more interval sessions to build up my vo2 max again. The others are simply warm up and cool down jog","What you did well:
You hit the target pace perfectly for the first two reps (4:23 avg).
You fought through rep 3 even when it got hard — that’s exactly how VO₂max sessions should feel.
You finished strong with a faster rep 4 after losing pace on rep 3. Great mental strength.
Warm-up and cooldown were appropriate and long enough.

What this tells me:
Your speed endurance is not fully back yet, which is normal because:
You had a break from quality runs (cold + trekking weeks).
You’ve been focusing more on threshold/steady work recently.
Your VO₂max ceiling is still high, but your ability to repeat fast reps is temporarily lower.
This type of workout is exactly what will sharpen your 10K performance.

This was a 5/5 session — strong, controlled, productive."
,18/11/2025,,,,,,
,19/11/2025,"8–10 km @ 5:15–5:30/km

Finish with 4 × 80m relaxed strides",8.67k@44:01/ 5:05,3,,"Good run, weather is cold so goes a bit faster without checking the pace. Also forgot the strides after the run, but I guess going faster is compensating for that? Feeling good for this run though","This was a very solid aerobic run — running at 5:05/km in cold weather is totally fine, especially since it felt relaxed and you didn’t force the pace. The effort matches what an 8–10 km endurance day should feel like, so there’s no harm from forgetting the strides. The slightly quicker pace already gives you a bit of neuromuscular stimulus, so it effectively replaces the strides for today. Most importantly, your comment about “feeling good” is exactly what we want mid-week: smooth effort, no strain, and good recovery signs. We stay on track for Thursday’s session without any adjustments."
,20/11/2025,"5–7 km @ 5:45–6:10/km (talking pace)

If club does HIIT, keep intensity low–moderate only","5.32k@29:39 / 5:35
1hr HIIT",1,,"easy day, chill run with friends and HIIT mainly foucs on thighs","Great job keeping this truly easy — 5.32 km at 5:35/km sits right where an aerobic recovery run should be, and pairing it with a light-to-moderate HIIT session focused on legs is okay since the duration was manageable. The key is that your perceived effort was low, which is exactly what we want between quality days. This session supports good blood flow and leg activation without adding fatigue, so you’re well set up for Saturday’s long run. Keep your Friday rest or ultra-easy, and your legs should feel refreshed going into the weekend."
,21/11/2025,,,,,,
,22/11/2025,"16–17 km

First 12 km @ 5:25–5:40/km

Last 4–5 km @ 5:10–5:20/km",,,,,
,23/11/2025,,,,,,
,24/11/2025,,18.00k@1:34:06/5:14,3,,"Skipped the Saturday run and feel pretty powerful today, started the run in a cold weather so start in a faster pace but feels ok today so going all the way forward in the same pace. Feeling strong so probably can handle a higher intensity run","18 km @ 5:14/km is faster than target, but your RPE shows it was controlled (RPE 3), not forced.
	•	Cold weather + fresh legs from skipping Saturday naturally gave you extra speed — that’s fine.
	•	You held consistent aerobic pace with no fade, which is a great sign your aerobic base is strengthening.
	•	This suggests you’re ready to start gradually raising the intensity on your mid-week sessions, just like you asked before."
,25/11/2025,,,,,,
,26/11/2025,"2 km warm-up
6 km @ 4:40–4:45/km
2 km cool-down","1.02k@5:18/5:12
6.02k@28:16/4:42
1.48k@7:53/5:19",5,,"Actually the 6k is a bit tough for me, not sure is my condition not so good today or what. The pace drop to around 5min at the middle and I stopped at 3k to take a rest and pick up again. Not like I cannot finish this program and this is a really tough one but my mind want to stop and chill out","You still completed the required 6 km tempo in the correct pace range (average 4:42).
Your warm-up and cool-down were solid.
RPE 5 means right on target for this intensity.
This workout will boost your threshold for the upcoming 10k and the half marathon in Feb.
Nothing is wrong with your fitness — your mind felt it because this is a breakthrough-type workout."
,27/11/2025,"6–7 km @ 5:45–6:00/km
4 × 80m strides",7.17k@36:36/5:06,2,,"Chill run, a bit sad worrying about situation in hong kong so didn't go to run club. Stopped once at the middle but not tired simply stopping for a round","✔ Fitness level
7.17 km at 5:06/km on what was supposed to be 5:45–6:00/km shows:
Aerobic system strong
Cold weather helping you hold efficiency
Your “easy pace” is naturally drifting faster → sign of progress
✔ Stopping once
Totally fine. This wasn’t a fatigue stop — more a mental reset. Emotional load absolutely affects running. The fact you kept pace well indicates your body is fine."
,28/11/2025,,,,,,
,29/11/2025,"12–13 km total
	•	First 8 km @ 5:25–5:40
	•	Last 4–5 km @ 5:05–5:15 (comfortably strong)",12.89k@1:07:24/5:14,3,,"Feeling actually a bit fatigued in my legs, it's not like I will be stopping within this 12k but the run is not as smooth as usual, or maybe I didn't keep track of my pace, I was thinking only 12k so I have been going faster thinking I can definitely finishing strong even if I go fast a little bit. In general easy run but not as feeling good as the usual long run",Faster-than-planned long run with noticeable leg fatigue. Finished strong but run felt less smooth than usual. Probably due to accumulated fatigue from earlier sessions. Still a solid execution and shows improving aerobic base. Will keep next week steady and avoid increasing long-run distance.
,30/11/2025,,,,,,
,1/12/2025,"6–7 km @ 5:45–6:10/km
+ 3 × 100m relaxed strides",7.41k@40:31/5:28,2,,"Forgot about the stides, but really relax run. Chill but a bit faster than the expected pace","Your Monday run was a solid, controlled aerobic session — the slightly faster-than-prescribed pace is not a concern as long as it felt relaxed, and your note suggests it genuinely did. Missing the strides won’t harm the week at all; the important part is that you showed up and kept the effort smooth after a weekend with some fatigue. This sets you up well for the upcoming workouts, and it’s good that you didn’t push harder to “make up” for anything. Consistency > perfection."
,2/12/2025,,,,,,
,3/12/2025,"2 km warm-up
5 × 1 km @ 4:20–4:30/km
2 min jog between reps
1–1.5 km cool-down","1.04k@5:28
5.05k@22.01/4:22
0.91k@5:39",5,,"For the 5k each k I can kept the pace around 4:20 without dropping much and even go further but need to slow down a bit. It was tough and I feel my lungs had a bit pain due to the out of breath but it was manageable. I thought 4:20 was easier back when I was running with my running club back in hong kong. Maybe when I was running with others with the same pace it will be easier and I can follow someone's pace, also I will felt like I can't lose then I will go faster. Running alone is hard to keep up the pace and going out to run alone is pretty tough in the cold wind. My pace and the effort right now I really not sure if I can make it even sub310","Your 1 km repeats at 4:20 pace were an excellent session — you held the pace consistently, stayed within the target window, and even had extra gear but wisely held back. The lung discomfort is simply the body’s response to colder air plus working near lactate threshold; it doesn’t indicate poor fitness. Running fast reps alone in winter is always harder, and you’re right that pack running feels easier due to drafting, shared rhythm, and competitive drive. The fact that you hit every rep solo in the cold actually shows your fitness is stronger than you think. This session is exactly on track for half-marathon pace development, and absolutely consistent with sub-3:10 marathon potential later — you’re not supposed to “feel like a 3:10 runner” in December, you’re supposed to train toward it. You’re doing the work."
,4/12/2025,5–7 km @ 5:45–6:15/km (talking pace),"5.24k@30:15/5:46
1hr hiit",1,,"Easy run with club member, hiit focus on abs and bicep, feel it in my body the next day ","Great job keeping the easy run truly easy — your 5:46/km pace is right inside the talking-pace range. Running with a club member naturally sets a relaxed rhythm, which is ideal before HIIT. The HIIT session focusing on abs and biceps will definitely create DOMS the next day, but this doesn’t interfere with running performance too much because the main impact muscles (glutes, quads, hamstrings) weren’t overloaded. Overall, this was a well-balanced recovery day, and the light cardio + upper-body focused HIIT is totally fine within the weekly structure."
,5/12/2025,,,,,,
,6/12/2025,"15–17 km total
First 12 km @ 5:20–5:35/km
Last 3–5 km @ 5:00–5:10/km",16.82k@1:28:19/5:15,3,,"Good long run, nice weather, sleep well, easy finish without any pain or fatigue. No need to stop or whatever straight back to home ","This was an excellent long run — controlled, steady, and finished strong. Your 5:15/km average suggests you handled the “faster last section” more naturally than usual, helped by good sleep and good weather. The lack of fatigue, no stopping, and smooth finish all show your aerobic base is getting very solid. This is the kind of long run that quietly builds marathon strength: relaxed middle pacing, stable heart rate, and strong legs even late into the run. This is a big confidence-building session, and exactly what we want at this phase of training."
,7/12/2025,,,,,,
,8/12/2025,"2 km warm-up
4 km @ 4:45–4:50/km
1.5–2 km cool-down",5.25k@24:28/4:40,3,,"It was too cold and I got out late so I didn't do the warm up and cool down but ran a bit more distance. Feeling strong today and the pace goes up a bit, nice run","Running 4:40/km in cold weather is very normal — cold air naturally makes you drift faster because your HR stays lower early in the run.

Even without the warm-up, the run was smooth, you didn’t spike too fast, and no muscle tightness or pain reported → that means your baseline aerobic strength is improving.

Skipping cool-down also isn’t harmful as long as you walked a bit and didn't instantly sit down."
,9/12/2025,,,,,,
,10/12/2025,"6–7 km @ 5:40–6:00/km
+ 4 × 100m relaxed strides",,,,,
,11/12/2025,5–6 km @ 5:45–6:10/km,7.28k@37:10/5:06,2,,"It was easy for me, I was pretty stable for this run except a few kms I went faster and go over 5min, the heart rate was around 153 and overall a good run. Feeling stress from work today so wanna do a longer and faster run to get that out of my chest","Great job getting the run done — and honestly, this was totally fine.
Yes, the pace was faster than prescribed, but:

HR ~153 is still in an aerobic / moderate zone for you

You didn’t turn it into a tempo

You stayed stable

You’re not reporting fatigue afterward

So it won’t hurt your training at all.

Also, using running to release stress is completely normal — just as long as you don’t habitually turn every easy day into a medium-hard day. Once in a while = totally okay."
,12/12/2025,,,,,,
,13/12/2025,"17–18 km total

First 12 km @ 5:25–5:40/km

Last 5–6 km @ 5:05–5:15/km",18.02k@1:34:26/5:14,3,,"My breath is ok and can handle the run pretty well, but somehow my hamstring on my right foot is a bit tight. It faded away after a while but in the middle I still felt it for a period of time, I don't think it was affecting my performance maybe I simply didn't do warm up and causes this","18.0 km @ 5:14/km with a faster finish is exactly what we want at this stage:
	•	Breathing under control
	•	No need to stop
	•	Strong, even pacing
	•	Finished without accumulating fatigue

This confirms your aerobic base is solid and still improving.

⸻

⚠️ About the right hamstring tightness

What you described is classic “cold + no warm-up” tightness, not an injury signal:
	•	Appeared early → faded later
	•	Did not worsen as pace increased
	•	Did not affect stride or performance
	•	No lingering pain afterward (based on your description)

This is very common in winter, especially on progression long runs.

Not a red flag unless:
	•	It shows up again in the next 1–2 runs
	•	It becomes sharp or localized
	•	It persists after running or the next morning

Right now, this is a yellow flag only, not red."
,14/12/2025,,,,,,
,15/12/2025,"7–8 km @ 5:40–6:00/km
+ 4 × 100m relaxed strides",7.51k@39:12/5:13,2,,"Easy run, no pain in any parts. Split the run in two parts, I went running back from some places to home in my jacket in a slower pace and after that change back to normal running suit and finsih the rest. Didn't do the strides thoough","Effort 2/5 → perfect for an easy day
Pace drifted faster than prescribed again, but you stayed relaxed and pain-free
Splitting the run due to clothing/weather is totally fine — it doesn’t reduce the training effect
Skipping strides once again is not an issue (we’ll just re-add them later)
The most important signals are:
✔ no hamstring tightness
✔ no soreness
✔ legs feel normal afterward
That tells me your recovery from the long run is good.
Small note for you
You tend to naturally settle around ~5:10–5:20/km on easy days. That’s okay occasionally, but on Thursday I really want you to slow it down a bit (think 5:45–6:05) to stay fresh for Wednesday’s quality session."
,16/12/2025,,,,,,
,17/12/2025,"2 km warm-up
4 × 1 km @ 4:25–4:35/km
2 min easy jog between reps
1.5–2 km cool-down","1.16k@6:12
4.03k@17:33/4:22
1.83k@10:13",3,,"4k is still ok as an interval, not pushing myself to the point that I felt tough. Also 2min rest for each rep is still generous enough for me to rest and go again with more strength in me. Not a bad program but I still think I can push myself harder","Execution: very clean
You averaged 4:22/km, which is faster than the prescribed range.

Effort 3/5: exactly what we want at this stage
You finished feeling in control, not destroyed.

Recovery: 2-min jog is indeed generous for you — that’s why it felt repeatable and strong.

So yes — you’re right: you could push harder.
But right now, not pushing is the correct decision."
,18/12/2025,"5–6 km @ 5:45–6:10/km
HIIT optional, keep intensity low–moderate","5.16k@30:35/5:56
1hr hiit",1,,"Actual recovery run, casual chat with fd and hiit but with easy effort","Effort 1/5 is perfect here. This run did its job: circulation, relaxation, and setting you up for the long run. Nothing more needed."
,19/12/2025,,,,,,
,20/12/2025,"18–19 km total
	•First 13 km @ 5:25–5:40/km
	•Last 5–6 km @ 5:00–5:10/km",18.24k@1:39:35/5:28,2,,"Long run with fds from hk, was slow jog in the beginning as I am still finding them. Also their pace of long run is much slower, then they're doing progressive run which is 5k slow and 5k fast I follow through a bit brining up the pace. But in general this long run was under effort a bit","Yes, this long run was under-target in intensity, but that’s actually fine this week because:
	•	You had a solid interval session midweek
	•	You’re stacking mileage consistently
	•	You avoided fatigue accumulation

Think of this as a “maintenance long run” rather than a progression long run."
,21/12/2025,,,,,,
,22/12/2025,"7–8 km @ 5:35–5:55/km
4 × 100 m relaxed strides",7.63k@40:14/5:16,2,,"Didn't felt any fatigue while running, I thought I kept it around 530 but apparently I ran faster than the expected pace. The effort was easy though and I did also the 4 strides in between of the run","Pace drift (5:16 vs 5:35–5:55) with easy effort = aerobic fitness improving
No fatigue + strides done = good neuromuscular freshness
This is exactly what we want before a quality-heavy week
👉 Don’t “correct” this by forcing yourself slower unless HR or effort creeps up. Easy = effort-based, not pace-policing."
,23/12/2025,,,,,,
,24/12/2025,"2 km warm-up

5 × 1 km @ 4:20–4:25/km
⏱ 90 sec easy jog (reduced from 2 min)

1.5–2 km cool-down","0.96k@4:56
5.03k@22:06/4:24
1.07k@5:55",3,,"My first few reps was slower even after warming up, it might be due to the cold weather. It was tough at the end but I manage to keep the pace, I'm still not sure if I'm struggling at this pace can I do a good job when I did my marathon. Should I do interval faster than my marathon pace","5 × 1 km @ 4:24 average with only 90 sec jog
✔ You completed all reps
✔ Pace stayed controlled (no blow-up)
✔ Tough at the end = correct stimulus

Cold weather + solo running = totally explains why rep 1–2 felt awkward."
,25/12/2025,"5–6 km @ 5:45–6:10/km
HIIT optional → low–moderate only",,,,,
,26/12/2025,,,,,,
,27/12/2025,"18–20 km total

Structure:
	•First 12 km @ 5:25–5:40/km
	•Last 6–8 km @ 5:00–5:10/km",15k@1:20:07/5:20,2,,"Easy run with my friend, didn't finish the whole program since he is tired. His program is a easy and marathon pace interchange, but when we are talking we didn't go up to the target pace","Coach response
	•	Even though shorter, this was still a useful aerobic long run.
	•	Social pace + conversation = true aerobic zone.
	•	You already have multiple 18–19 km runs banked → no loss here."
,28/12/2025,,,,,,
,29/12/2025,"2 km easy warm-up
	•	4 × 1 km @ 4:25–4:30/km
⏱ 90 sec easy jog
	•	1.5–2 km cool-down",,,,,
,30/12/2025,"•	12–14 km @ 5:20–5:40/km
	•	Last 3 km gently progressive → ~5:05–5:15/km",16.41k@1:22:36/5:02,2,,"Last long run before the trip, run a bit more because couldn't run for a while, easy program",
,31/12/2025,,,,,,
,1/1/2026,,,,,,
,2/1/2026,,,,,,
,3/1/2026,,,,,,
,4/1/2026,,,,,,
,5/1/2026,,,,,,
,6/1/2026,,,,,,
,7/1/2026,,,,,,
,8/1/2026,,,,,,
,9/1/2026,,,,,,
,10/1/2026,,,,,,
,11/1/2026,東京ニューイヤーハーフマラソン,,,,,
,12/1/2026,,,,,,
,13/1/2026,,,,,,
,14/1/2026,"12–15 min continuous jog

Pace: slower than 6:00/km

Flat surface only",4:19k@25:05/5:59,1,,"Recovery run after a long long time, was using a wrong posture to run in the beginning so my left heel and outer foot hurt a bit at first. After 2k I adjust my posture and I didn't have that feeling again. Since I have been adjusting my walking posture for quite a while after the injury, my running posture was affected too, I was afraid of hurting my toes once again. But after this running I didn't felt any pain while walking, only a bit pain while bending my toes on purpose, but normal walking and running is not gonna cause the pain. No need to limp again",
,15/1/2026,"30–35 min easy
Pace: ~5:50–6:10/km
Finish with 4 × 20s relaxed strides only if:
Pain during run = 0–1
No toe guarding",5.54k@30:09 / 5:26,1,,"Actually the pain is gone when I run this program, I can even run at 5min pace without any issue",
,16/1/2026,,,,,,
,17/1/2026,"60–70 min easy
Pace: 5:40–6:00/km",,,,,
,18/1/2026,,,,,,
,19/1/2026,,,,,,
,20/1/2026,,,,,,
,21/1/2026,,,,,,
,22/1/2026,,,,,,
